track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3HVWdVOQ0ZA45FuZGSfvns,0.66,0.445,0.0,-7.712,0.0,0.0372,0.499,0.0,0.115,0.338,143.189,audio_features,0vber253Le8WWt7gKorVe9,spotify:track:0vber253Le8WWt7gKorVe9,https://api.spotify.com/v1/tracks/0vber253Le8WWt7gKorVe9,https://api.spotify.com/v1/audio-analysis/0vber253Le8WWt7gKorVe9,231040.0,4.0
0vber253Le8WWt7gKorVe9,0.52,0.849,9.0,-3.794,0.0,0.186,0.00253,0.0,0.119,0.774,175.908,audio_features,4btFHqumCO31GksfuBLLv3,spotify:track:4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/tracks/4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/audio-analysis/4btFHqumCO31GksfuBLLv3,236907.0,4.0
4btFHqumCO31GksfuBLLv3,0.504,0.762,2.0,-6.42,1.0,0.057,0.095,1.27e-06,0.338,0.44,176.013,audio_features,6ZZf5a8oiInHDkBe9zXfLP,spotify:track:6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/tracks/6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/audio-analysis/6ZZf5a8oiInHDkBe9zXfLP,224804.0,4.0
6ZZf5a8oiInHDkBe9zXfLP,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560.0,4.0
34gCuhDGsG4bRPIf9bb02f,0.647,0.377,4.0,-13.231,1.0,0.0603,0.766,0.502,0.135,0.683,99.802,audio_features,4RC7Q5C7MfVyRmQIca98Je,spotify:track:4RC7Q5C7MfVyRmQIca98Je,https://api.spotify.com/v1/tracks/4RC7Q5C7MfVyRmQIca98Je,https://api.spotify.com/v1/audio-analysis/4RC7Q5C7MfVyRmQIca98Je,239119.0,4.0
4RC7Q5C7MfVyRmQIca98Je,0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,audio_features,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/tracks/6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/audio-analysis/6K8qKeWo5MsFED7wCR6Kop,235382.0,4.0
6K8qKeWo5MsFED7wCR6Kop,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987.0,4.0
1HNkqx9Ahdgi1Ixy2xkKkL,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400.0,3.0
0tgVpDi06FyKpA1z0VMD4v,0.66,0.316,3.0,-11.567,0.0,0.0364,0.529,0.000294,0.104,0.543,91.207,audio_features,5v4sZRuvWDcisoOk1PFv6T,spotify:track:5v4sZRuvWDcisoOk1PFv6T,https://api.spotify.com/v1/tracks/5v4sZRuvWDcisoOk1PFv6T,https://api.spotify.com/v1/audio-analysis/5v4sZRuvWDcisoOk1PFv6T,300253.0,4.0
5v4sZRuvWDcisoOk1PFv6T,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,audio_features,0E4Y1XIbs8GrAT1YqVy6dq,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,https://api.spotify.com/v1/tracks/0E4Y1XIbs8GrAT1YqVy6dq,https://api.spotify.com/v1/audio-analysis/0E4Y1XIbs8GrAT1YqVy6dq,185487.0,4.0
